还是	h;	2
出来	c;	2
但是	d;	2
发现	f;	2
工作	g;	2
不是	b;	2
自己	z;	2
一个	y;	2
现在	x;	2
我们	w;	2
这个	v;	2
他们	t;	2
什么	s;	2
如果	r;	2
起来	q;	2
朋友	p_
酗	xiuo
苓	ltio
噤	jnuu
咫	vvoi
椿	cdee
鲫	jsae
罔	wwou
锭	dcoo
锺	vcuee
匍	pse
祗	vjua
锰	mcai
岌	jwua
畹	wwoou
馀	ycie
糯	nme
胫	jra
銮	llie
熠	yma
沅	yeee
旌	jlueu
棣	dda
豌	wioo
孢	bcua
盹	dwea
驸	fxie
腌	yreu
熵	smoe
镭	lceo
镐	gcoe
馐	xsou
骰	twua
嘤	ynia
癞	lleiu
韭	jre
阖	hkiu
裨	pjui
瞑	mwoa
宕	dheuo
戾	lje
镌	jciau
隽	jkauu
牍	ddeio
溟	meoau
婊	bbe
鹄	hfu
拄	vuoee
埂	gyei
虬	qwaa
娲	wboi
萱	xtooe
啵	bneo
蠡	lxiai
芋	yteei
胭	yroi
豺	cae
啻	clo
褛	ljou
蛆	qwiae
柠	ndo
掰	buuou
篆	vfa
咛	nnoo
倌	gko
蛭	vweai
纭	yxe
荨	xtae
莞	wto
谡	sjiau
澹	deua
潞	leoiu
郅	vuaii
弋	yuoo
飕	ssui
螳	twio
胄	vwuae
蟑	vwoeu
昙	tge
宓	mhoa
锏	jcoi
猥	wsi
蟠	pwuo
柑	gdeie;	2
匐	fse
烯	xmuo
濮	peii
蟮	swou
仄	zpi
偈	jkuiu
蜃	spia
粼	lmaa
箴	vfeu
嗥	hnuie
褴	ljii
蕨	jteuo
圩	wye
蓟	jtuai
杳	ydui
孪	llaie
魇	ypu
荤	htea
诿	wju
簪	zfe
氲	yfui
飒	sluau
摞	luiaa
镂	lcou
舀	yaui
夙	sse
臧	zpea
貂	daa
蒿	htoe
蜥	xwuu
蹩	bmoi
钛	tce
噼	pnae
钚	bceu
铠	kcia
皙	xdui
鲈	lsie
濂	leoeo
霭	ryoa
獾	hsau
叵	puoi
霾	myuo
泯	meae
鸵	tsoo
碴	cpuu
峪	ywuo
饕	tnio
睢	swio
瘁	cloe
纣	vxei
迩	rsoa
鬃	ziooe
夔	kmu
饨	tse
垠	yya
榭	xduie
娑	seaue
隍	hcu
篝	gfeeia
榔	ldoa
洌	leeui
浜	beui
鲑	gsiu
汩	geuie
舐	sfua
浣	heoo
谔	rjoi
瞭	lweu
忻	xhuu
咻	xniu
唑	znii
鹑	cluae
皎	jdoe
懋	mdoa
诒	yjao
麾	hlue
辏	cuee
氐	dsoo
冽	lleu
箕	jfei
俚	lkiae
汴	beoe
宸	cheue
芍	stu
捱	rueue
摈	buoo
摺	vuao
簦	dfao
咝	snaa
箔	bfeou
孀	sbeo
怏	yhiao
谝	pjoa
耄	miuea
砧	vpi
罂	ywuei
漕	ceei
馕	nse
沣	fee
栾	lluu
烷	wmo
榘	jfuu
沱	teoo
俑	ykao
缜	vxeiu
榷	qdo
鹫	jluae;	2
蛳	swiue
泗	seiae
剽	piii
衢	qgi
臊	sroi
瘴	vloe
纾	sxaoi
晁	cguo
酚	fiuo
孛	biaie
炀	ymau
叁	sze
憩	qfoao;	2
掬	juuao
椤	ldiau
啮	nnie
畿	jxia
骁	xxea
掸	duou
镣	lceuu
侗	dkiaei
椽	cdaa
泓	heae
荩	jtae
蚱	vwuee
酯	viuau
滦	leoeu
癜	dlae
癸	gze
扪	muoi
庑	wlee
蚜	yweau
歆	xluai
蝮	fwue
蹶	jneu
弈	yleui
庋	gle
喟	knia
滂	peo
蛎	lweue
啕	tnua
翊	ylaoa
槁	gdoe
龊	cro
獭	tsei
邺	yeai
莘	sto
燮	xlao
铛	dcio
剁	dsii
觐	jiiau
谗	cjua
镍	ncu
臃	yroea
墒	syoe
燔	fmuo
晔	ygie
涿	veeu
嘭	pniu
醯	xioe
箩	lfia
睨	nwu
鄱	paa
坳	rya
诤	vjuaa
砷	spiai
鹭	lnuae
唏	xnuoe
猬	wsia
殁	mpu
蚩	cciao
琥	hoi
伲	nkae
泾	jeaoe
缥	pxe
殓	lpio
鳅	qsu
刍	csa
芷	vti
诋	djua
逅	hgoao
舫	fgoeu
氰	qfe
嶙	lwouu
呓	ynau
唰	snaei
茁	vtai
妫	gbo
馑	jsei
骧	xxoe
苷	gte
峋	xwua
袂	mjae
擢	vuaoi
懑	meoao
蓑	stoe
祉	vjiee
涞	leeo
踹	cnia
沏	qeea
诳	kju
饽	bse
掇	duao
噫	ynoeo
饪	rsue
绺	lxuao
谘	zjo
飧	ssio
迳	jzo
铡	vciai
枞	cdii
熨	yvo
鋈	weie
荭	hta
俦	ckee
戛	jpea
赊	swie
幺	yxoo
湎	meeu
芪	qtua
凇	sluu
觯	vsoui
龌	wra
苻	ftie
挞	tueu
嘁	qneu
嬴	ylauo
鞯	jia
肽	treuo
恸	thee
迨	dzoa
钰	yce
儆	jkauue
讫	qjue
觎	yki
滓	zeoo
媾	gbe
龇	zri
僮	tkoe
涮	seae
杈	cdaoo
赳	jyai
胯	kre
疸	dlui
斛	hso
绾	wxoo
觥	gsio
卞	bloo
愠	yhui
拮	juiu
庠	xlou
烨	ymie
菠	bteo
窈	yhaa
罄	qyue
囤	tnea
弁	bze
咣	gni
奘	zce
腴	yru
缫	sxaa
缈	mxi
柚	ydiae
喵	mnau
遛	lsoao
潢	heeiia
郏	jyaii
荻	dtua
琨	kou
藜	ltue
镳	bcoe
雉	vfioe
橐	tie
艮	gvo
骈	pxo
蛉	lwio
柩	jdea
搽	cuau
寮	lheu
濡	ree
佗	tkoo
啷	lnoaa
诜	sjue
偻	lkou
夯	hpa
闱	wkeei
枸	gdua
虻	mwoe
谖	xjuo
筠	yfiu
膑	broo
夥	hwua
臾	ydoo;	2
埽	sya
笞	cfa
婀	rba
珞	loua
粑	bma
怵	chuu
崂	lwau
觊	jwiau
殒	ypoii
绻	qxo
昱	ygoe
嗑	kniu
榛	vdeeu
颧	qteu
蜴	ywuiu
鳝	ssou
噙	qnio
淼	meeo
矾	fpu
囿	yneu
硼	ppu
泅	qeoi
邂	xsoa
蠹	diiai
钜	jcea
垩	riiu
乩	jraa
淦	gei
嗝	gneo
樽	zdou
诮	qjio
啐	cnoe
淅	xeuuu
揆	kua
榉	jdoo
馗	kso
鱿	yseuo
骛	wz
辔	pxoi
暹	xgoa
犷	gsoe
苫	stie
詈	lwoe
竦	sle
獠	lseu
诨	hjoa
篙	gfoeo
峒	twia
铰	jcoe
馄	hsuie
滢	yeau
蜚	fria
靓	loia
琬	wooo
犟	jvue
璨	coie
狻	ssao
鸬	lru
螨	mwauei
嘹	lneuu
芩	qtio
蜇	vuiao;	2
锟	kcu
栉	vdau
洹	heeu
钍	tciu
俪	lkeia
瑁	moi
锨	xcuu
壹	yyeo
竑	hleu
痿	wlue
粕	pmui
犄	jfeue
瘙	slao
抟	tuee
饯	jsee
衲	njia
龅	bruaa
踮	dnoeie
愎	bhue
馥	ffue
梏	gdue
讣	fjio
艿	nta
邝	klai
趺	fnee
鲟	xsa
绉	vxua
剜	whii
笥	sfaeo
罅	xfie
衩	cjao
斫	vpu
姣	jboeu
鹗	rnua
爻	yauo
晗	hgio
铩	scu
猕	msae
窕	thuo
仨	skeee
酢	ciuee
崴	wweu
搡	suaou
佞	nke
璀	coiai
檄	xduiu
舛	csea
岷	mwae
闿	kki
邕	yxoi
铂	bcui
霁	jyoe
犒	kfoe
馏	lsua
阈	ykeao
麋	mlou
麒	qlei
苁	ctii
妍	ybee
宥	yheu
涔	ceiai
铤	tcue
摁	ruoi
锷	rcoi
恽	yhoa
嗲	dnuou
麂	jluaa;	2
胛	jria
赝	ypiai
哂	sneie
呶	nnau
栎	lduao
桎	vdea
飨	xxio
撷	xuiu
噘	jneuo
霰	xye
懔	lho
娣	dbou
揄	yuiua
噔	dnaoe
忝	toi
咤	vno
薏	ytoe
迤	yfoa
泸	leiea
贲	biia
胪	lrie
嗵	tnao
鍪	mzi
刈	yaii
咿	yniae
鹌	rpua
蔫	nte
僖	xkiu
嗪	qnee
茏	lteu
岫	xwia
茯	ftieu
轱	guei
怼	dzoao
铨	qci
嵘	rwa
昕	xguui
郢	ynaii
咩	mnoui
馊	ssuia
髡	kieu
澧	leiae
苣	jtea
盥	gdia
濯	veao
囡	nnaue
砺	lpeue
佘	skeei
弑	saea
楂	vduu
谶	cji
翦	jmao
怩	nha
楹	ydau
霏	fyie
蠼	qwiai
讴	rjea
锲	qcee
砭	bpuo
胝	vruao
慵	yhoe
杵	cdue
潍	weaa
樾	ydiue
帼	gwo
碣	jpui
诌	vjuaae
钴	gcei
徕	lge
胴	dria
啶	dnoo
裟	seoeo
铣	xcueu
铱	ycoe
楫	jdoi
赭	vyei
酊	diei
碛	qpee
醛	qiaui
魑	cdo
陂	bca
剐	gnii
阄	jkua
畦	qwiu
闶	kkoe
祚	zju
鹘	hwuae
泱	yeia
骅	hxie
陲	ccue
趄	qyi
呤	lnio
郧	ynaii;	2
铉	xcoea
倜	tkua
燧	smou
粲	crou
骶	dwua
忸	nhai
峁	mwua
渌	leae
戡	kiea
骞	qhaa
髭	zii
苋	xti
钨	wcu
锃	zco
蜊	lwue
谲	jjao
戕	qcea
闼	tke
骊	lxei
幄	wwa
虢	gai
妲	dbu
绌	cxai
烩	hmi
袈	jboeo
傥	tkiou
桠	ydeie
肓	hlua
杲	ggu
揿	quie
薮	stou
莅	ltioe
厝	cpeiu
氤	yfoi
缙	jxeiu
诟	gjuu
衮	gluo
硒	xpei
旖	ylue
唁	ynoee
硎	xpee
裱	bje
嬗	sboe
颦	pruie
纥	gxu
煨	wmi
靥	ypeue
鏖	rli
礴	bpa
羿	yzeu
笏	hfua
蝈	gwoi
炜	wme
笕	jfiau
锉	ccii
湟	heuie
煲	bkou
鼐	nbi
甑	zmea
妪	ybea
浔	xeaee
弭	mve
喑	ynoeui
锂	lciae
嶂	vwoeui
苡	ytao
颏	kleu
孳	zmaie
醴	liia
轭	rueua
蚝	cwuea
渚	veeiui
鹬	yzuae
邛	qiai
覃	tiu
痨	llau
褡	dja
耦	roia
膘	breiee
馔	vsae
篾	mfia
兖	yluo
爰	yaee
痂	jlau
阋	xkui
遨	rooa
艄	sgio
耨	noe
沤	reea
昶	cjui
秣	mfe
焓	hmio
邋	lxoa
俎	zki
绦	txu
窣	shiuo
榫	sdiei
蟪	hweio
烃	tma
氩	yfe
稗	bfu
锴	kcea
龉	yrei
謇	jhoe
鸢	yuuae;	2
肱	greu
俣	ykoi
痤	clii
嬷	mbo
笫	zfu
芨	jtuao
莆	ptei
砣	tpoo
菏	hteo
阕	qkao
碜	cpao
鼹	yduio
竽	yfee
舸	gge
猷	yme
诓	kje
錾	zuie
姘	pbou
悌	tho
淬	ceoei
隗	wcui
婕	jbeao
槭	qdeu
邈	mao
歙	skuai
蹴	cnoee
稹	vfeiu
豕	spoo;	2
砒	ppea
痈	yluai
鲂	fsoe
镏	lcua
羯	jmu
匦	guea
笤	tfau
蓖	btui
峥	vwuaa
浃	jeeo
烊	ymoui
徭	yguo
蚨	fweeo
趔	lyeu
缢	yxou
褓	bjio
窸	xhuooa
翳	yuao
酆	foa
誊	tmoe
仃	dkei
炔	qmae
泷	leeuo
勖	xwa
蚴	ywaaau
葺	qto
蛴	qwoe
赜	zuee
媸	cba
茑	ntu
诖	gjiui
祜	hjeio
俳	pkie
逡	qz
孱	cvai
跸	bnea
砦	vreu
伉	kkoeu
屐	jvuu
蛞	kwue
溴	xeuie
飚	bsou
圻	qyuu
矸	gpee
鸨	bsuae
掮	quo
崆	kwo
庾	ylui
缂	kxe
蒯	kti
橛	jdeu
饧	tsa
鸪	giuae
诹	zje
啭	vnea
蛩	qiia
镉	gceo
蠖	hwa
劭	sbau
杼	vdao
哐	knea
棂	ldae
遑	hdoa
龃	jriae
螫	vyia
颢	hgeu
饔	ylioa
崧	swuu
腱	jrae
襁	qjae
牝	pfua
忾	khue
蛄	gwei
鲆	pseo
濠	heoe
嗄	rneuu
灏	heuieu
苜	mtiae'	3
荞	qtue
疥	jliu
砝	fpiu
嘣	bniau
夤	ysoo
颞	nieu
忤	whue
旎	nlu
辇	noea
遢	tgo
瘛	cleeo
魉	lde
瓤	rlu
氚	cfui
荥	xte
娌	lbi
涫	geoo
毂	gyua
碇	dpooe
臁	lroe
吡	bneau
玮	woeei
毖	buoa
羟	qmao
缛	rxeu
壅	yliu
珈	joa
虼	gwue
颀	qge
佝	gkuao
祇	qjua
珏	joee
郛	faaii
翕	xkao
遴	lmoao
玖	jouao
诂	gjei
逋	bioa
粽	zmoo
氅	cque
蹇	jhoi
岢	kweio
聒	giueoi
髁	kwia
芾	ftei
闳	hkeua
淝	feua
黍	sfie
鲎	hhuae
鞣	ria
髋	kwoo
潆	yeaua
汨	meui
胍	gruu
钤	qcio
铵	rcooa
阏	rko
戬	jieao
鹜	wzu
鬈	qiou
枰	pdeo
衾	qkoe
脍	kri
崮	gwoie
畲	skiae
樯	qdeio
蹼	pnii
囫	hnuae
劬	qsau
洱	reei
咭	jniu
刎	wsii
碚	bpoe
鳕	xseo
芏	dti
琊	yoea
芎	xtaea
绀	gxe
恂	xhuau
谪	vjoei
嘧	mnoo
槿	jdei
鲢	lsea
鲧	gsuai
郦	liai
浠	xeuoeu
跏	jnau
潸	seuuu
噱	xniee
鲶	nsio
苌	ctue
抻	cuiai;	2
臬	ndu
琰	yoou
鹚	cmuae
矍	jwiao
龆	trau
芄	wtua
呔	tneu
觞	ssuea
雒	lsio
饫	ysue
钒	fcua
鸩	vjuae
舂	cou
阒	qkia
槎	cdou
阡	qcuei
妗	jbio
莒	jtoio
蚧	jwiu
萸	ytui
谠	djio
稔	rfi
餍	ypio
穰	rfoe
芗	xtaa
葩	ptui
谯	qjioo
踔	cnie
菸	ytoeu
饩	xsue
钏	ccui
佻	tkuo
倨	jkaee
嘌	pneiee
蠓	mwauee
黩	dweio
厣	ypiai;	2
钿	dcia
恁	nkoao
殚	dpou
缬	xxiu
鎏	leiee
藿	hteoi
囟	xduo
呋	fneeo
瓯	ruea
旃	vlue
绱	sxio
婺	wza
酩	miua
锶	scia
鄣	vlai
恹	yheue
鸹	gfu
逶	wfo
缦	mxui
讦	jjeei
邬	wsai
殇	spue
菟	ttua
媪	rbui
阗	tkei
鲛	jsoeuo;	2
篑	kfia
螟	mwoau
濉	seiai
醪	liao
芡	qtuai
肼	jree
峤	jwue
嫠	loeu
鄯	sma
讧	hjeie
岘	xwiau
掼	gua
焖	mmoi
愆	qgo
聩	kii
矽	xpuao
卟	bnio
姒	sbao
杷	pda
挈	qoue
蚋	rwiao
袢	pjou
菖	ctui
笳	jfau
靛	doo
砉	hoeu
黾	mni
踽	jnui
凫	fsua
侩	kkie
诔	ljee
莜	ytiu
郯	tmai
笪	dfui
挲	seue
鼋	yooi
韪	wgee
趿	tnuao
菅	jtoo
裢	ljea
嵊	swuei
箸	vfeiui
旯	lgu
莴	wtoi
莠	ytue
涪	feo
赍	jiiai
圜	hniae
阌	wkuo
囵	lniu
柞	zdu
曷	hgua
笾	bfau
跎	tnoo
巽	xvei
嗍	sno
裰	djao
榧	fdea
簟	dfeiu
讵	jjeaa
枋	fdo
绔	kxeu
逖	tsoa
骓	vxi
魃	bdeua
镒	ycou
餮	tpio
乜	mxaa
鄢	yiai
瑭	tooe
踅	xuoi
馓	ssei
蟛	pwi
鳟	zso
荛	rtea
氘	dfuii
忪	vhuo
纰	pxea
姹	cboo
桉	rdoo
氪	kfei
阍	hkua
旮	gsui
汊	ceaoo
纡	yxee
娉	pbi
傈	lkeiuu
缟	gxo
镢	jceu
垅	lyeuo
枥	ldeu
庥	xliu
堋	pyua
笮	zfue
缁	zxa
跞	lnuao
腭	rroi
蔺	ltoi
鹕	hiua
槊	smuu
魍	wdi
髂	qwoo
枳	vdoi
舻	lgi
蜍	cwie
醚	miou
鹧	vlua
鏊	roie
禳	rjoe
吒	vnuea
搿	guiu
珩	houu
钹	bceua
蒺	jtoeu
蜢	mwaii
鬻	yveo
卮	vgaa
苄	btoe
苕	stau
垭	yyei
菀	wtoo
袷	jjio
跹	xnue
瘘	lloua
骠	bxei
缶	ffii
鸷	vuuae
笸	pfe
磬	qyeu
纨	wxu
牦	mfuea
郓	yjai
阆	lkoa
琮	cooo
锒	lcoa
锕	rca
蕲	qtou
蠲	jmiau
芰	jtei
砩	fpa
妯	vbi
驷	sxiae
舢	sgia
趸	duoi
鹩	lpua
芫	yteeu
笊	vfuu
嗉	snee
蠊	lwoeo
枇	pdea
饴	ysaoo
莸	ytuae
阃	kkoi
浯	weei
焱	ymouo
柢	dduao
铆	mcua
擤	xuui
醢	hieui
帙	vwueo;	2
呲	znie
雱	pyoe
鹆	yauae
溆	xeia
碓	dpio
潴	veua
牖	ydoa
鬣	liaa
踞	jna
崾	ywei
堀	kya
疝	sliai
郴	cdai
桁	hduu
蛱	jweo
幂	mjuie
僳	skeio
獐	vsoe
鳏	gsiai
诎	qjaii
箝	qfei
呦	ynaaa
囹	lnioa
茴	htoi
揶	yuei
脲	nra
嗌	rnou
螈	yweuu
胨	dre
贽	vuiai
赅	gwoe
锑	tcou
痼	glo
膈	greo
镊	nce
鳊	bsoai
苤	pteu
峄	ywaoe
桡	rde
雎	jwioe
鲋	fsie
鞫	jiuao
鼬	ydiae;	2
疖	jlaii
昀	yguao
痍	ylea
熘	lmua
蟊	mzia
鞴	biei
獯	xsueo
侪	ckoe
炝	qmi
栀	vduua
炷	vmo
硐	dpia
鹂	liuae
嵴	jwoe
裾	jjaee
锸	ccuee
槲	hdua
羸	llouo
佰	bkeu
珐	foiu
哔	bneae
牯	gfeio
旆	plue
屙	rva
掾	yuaae
钪	kco
僦	jkoee
仟	qkue
圮	pyaea
芟	stua
崃	lweoo
跗	fnie
鲅	bseu
廪	lloeoi
擘	bvue
笱	gfua
苎	vtoo
圄	yneio
匏	ppua
彀	gyuaa
嗾	snoe
硷	jpio
卣	yroia
玳	doie
畛	vwiuu
涑	seeio
浞	veoi
勐	mcau
掴	guoie
赧	nya
粳	jmei
愍	mvo
刖	yri
逦	lioa
铄	scua
湫	jeue
椴	ddui
貉	hau
箧	qfea
擀	gueii
鲮	lsiu
茱	vtu
畈	fwuua
朐	qrua
訇	hsoe
悭	qhii
啖	dnou
蛘	ywoui
愀	qhu
鹨	lzu
凼	dea
苴	jtiae
佶	jkiuo
晟	cgeuo
缃	xxuu
颛	vweui
鲱	fsiei
厍	spea
佤	wkea
氡	dfua
徉	ygou
胗	vriu
洙	veue
锆	gcue
鞒	qiueu
癯	qlia
钺	ycea
勰	xbia
螭	cwoe
繇	yauai
肟	wre
肫	vrea
轸	vuiu
嵬	wwui
瘿	yliaa
邨	cuai
仞	rkauo
奁	lpea
轳	luiea
钼	mcia
睇	dwou
跆	tnaoo
樗	cdeo
蝼	lwoua
宄	ghu
鲰	zse
熳	mmu
铧	hci
馃	gsiao
裥	jjo
薜	btae
榇	cdoe
诶	rja
怄	rhea
帑	tbi
虺	hpi
鸱	csuae
硗	qpeae
矬	cfii
缗	mxae
碡	dpee
寤	wha
糅	rma
镧	lcoie
蹚	tnioi
雠	ckoai
虿	cuiao
埙	xyoi
悒	yhoi
硌	gpu
啁	vnua
犍	jfae
锩	jcou
蛑	mwaou
艉	wga
咴	hneuo
筮	sfeii
肄	ysae
糁	smao
鼍	tnoi
艏	sgo
劢	muau
籴	dao
砻	lpeuo
龀	crua
骜	roaa
蜮	yweao
黢	qwao
畚	bzeu
鹁	biu
稞	kfiao
耪	poo
鲲	ksu
觳	hyu
鬯	caua
捌	buoi
柘	vdeuo
娆	rbe
菔	ftua
鲀	tsea
篪	cfuu
獬	xsuaa
伥	ckue
狎	xsiai
孬	npau
谇	sjoe
聃	diiae
鄄	jiai
遒	qmo
滟	yeeeu
綦	qiaa
谰	ljoi
磔	vpua
鲡	lsei
齑	jlie
闫	ykee
钕	nca
泠	leio
砗	cpea
蔻	kto
镫	dcao
佥	qkoo
罘	fweu
胂	sria
菹	zteo
煅	dmui
煸	bmoai
嶝	dwao
鲠	gse
螯	roiao
躅	vnia
钋	pci
坨	tyoo
哞	mnao
洳	reau
盍	hyia
鸫	duuae
萘	nteu
菽	stiea
徜	cgio
渑	meoi
慊	qhou
踯	vnou
羰	tmia
褫	cjuu
縻	mlaa
灞	beeo
怛	dhu
俅	qkei
洮	teuoa
胼	prou
罴	pwiu
镛	ycoea
隳	hcii
芤	ktai
芊	qtuei
啉	lnuu
焐	wmei
绲	gxui
嫱	qbe
噌	cnouu
膻	sroe
亓	qoui
莼	cta
缒	vxui
嘞	lneia
蘅	htuu
倮	lkiao
镆	mcauu
伧	ckiaa
荏	rtiu
蚬	xwiaua
鸶	sxua
唳	lnoae
颎	jseuo
韫	youi
澍	seiu
檩	ldoeoi
蘖	ntui
骱	xwiu
怙	hhei
垡	fkiu
腚	dro
焯	vmieu
羧	smaou
鼙	pyui
嘏	giae
艽	jtuaa
荠	jtoeui
枵	xdoie
昴	mgua
倥	kkoo
亳	blue
粜	tcouo
魈	xdio
舨	bguu
醣	tioe
杓	bdua
茔	ytiue
珲	hooa
蛏	cwao
楸	qdueo
楦	xdoo
疃	twoei
髌	bwoo
甙	duei
蠛	mwauia
钣	bcuu
笄	jfeei
诼	vjeuo
跣	xnueu
蜣	qwoue
嬖	bva
铍	pca
喾	khueo
蜉	fwuoa
戆	gloa
陉	xca
瓴	lkea
薹	ttiu
岵	hweioi
肷	qruai
怫	fha
荽	stuo
缯	zxou
钭	tcoo
窀	vheaa
帔	pwa
倬	vkieu
蚶	hweie
楝	ldei
痱	flie
摭	vuoeo
螬	cwei
髑	dwi
衽	rjue
狷	jsoiu
萋	qtea
粝	lmeue
裉	kja
葭	jtaea
殛	jpai
鳢	lsiae
鼗	tai
钌	lca
罟	gweio
喁	yniao
傧	bkoo
愦	khiai
嫘	lbia
蝽	cwee
裼	tjui
哌	pnuu
衿	jjioa
锗	vceiu
墉	yyoea
廛	cliau
鐾	bvie
粢	zlou
醵	jiie
跫	qioi
扦	quuei
陟	vcie
堇	jiiae
脘	gro
婧	jbee
暌	kga
罱	lwei
镞	zcoe
蹰	cneu
鳔	bsei
岿	kwiu
侔	mkao
砹	rpau
疴	klei
麸	foee
郾	yuai
唿	hnuao
薨	htia
呒	rneea
拊	fuie
狯	ksie
眦	zwie
铳	ccoeu
偾	fkeii
椁	gdoeo
猢	hse
滁	ceai
裎	cjoi
榱	cdoei
璎	yoiaa
撺	cuooi
罾	zwou
鳚	wsae
缇	txui
蝣	ywoe
崞	gwoeo
冼	xlueu
狲	ssai
萑	htio
晷	ggua
痧	sleo
缱	qxi
帏	wwee
狍	psu
疠	llea
绨	txou
锛	bceue
蕖	qteo
窨	yhoeu
儋	dkua
袼	gjua
憷	chuua
汜	seaea
邰	tza
炅	ggo
虮	jwuaa
瓠	hpuu
蚰	ywi
嵝	lwouau
煳	hmeiu
窳	yhuu
蘩	ftue
庀	pluaa
泶	xheo
砀	dpau
莪	rtue
捩	luoa
蹉	cnoue
螽	vsia
苊	rteu
犸	msaa
衄	nda
蛲	nwe
槔	gduie
曛	xgue
隹	vkoe
鹾	croue
蘼	mtoei
玢	fou
泫	xeoea
酐	gieei
辊	guui
墀	cyae
瞋	cweiu
銎	qiie
尥	lpuao
畀	bweu
逑	qioa
硖	xpeoo
猗	yseue
逯	lvoa
堞	dyei
嵛	ywiu
噻	snoo
嚯	hneoi
鲃	bsai
呖	lneua
沆	heoeu
偬	zku
鹈	tmu
塬	yyeuu
鄞	yiaii
溧	leeiu
嫒	rbuo
缣	jxou
谵	vjuao
黧	lfiao
肭	nri
窭	jhou
鹱	hsaui
嬲	nwau
仫	mku
迕	wfoa
泔	geei
铋	bcoa
秫	sfuu
蒌	ltou
喱	lneui
溘	kei
箪	dfoui
酃	lya
鳙	ysoea
曩	ngo
赀	zria
裣	cjio
朊	rre
芑	qtae
盱	xwee
钎	qcuei;	2
胙	zru
挹	yuoia
捭	buui
悱	fhi
鬟	hiia
糇	hmia
钇	ycaa
甾	zxia
崤	ywuoe
铯	scuaa
缡	lxoe
鲚	jsoeui
澶	ceoeo
鹪	jkuae
瞽	gyia
欹	ypua
鞔	miuai
玎	doe
籼	xmi
庹	tlae
阊	ckuiu
湔	jeou
锜	qceu
嘬	cnui
燹	xpou
猊	nsui
锊	lcuo
舾	xgei
渖	seoo
岣	gwuaoi
钫	fco
钯	bcai
蚍	pwea
铒	rcei
葑	ftiu
敫	jdue
蓼	ltao
幛	vwoeui;	2
褊	bjoai
樘	cdio
篦	bfui
麇	jlueo
癔	yloeo
钔	mcoi
穸	xhuao
浼	meua
甯	nhoa
瑷	rouo
锼	scui
锿	rcoe
轫	ruau
戗	qkea
泮	peou
莩	ftuo
睃	swa
遄	cwoa
嵯	cwoue
皴	cza
瀣	xeie
逭	hhoa
炱	tzou
葚	rtei
锱	zca
篁	hfui
醍	tiui
褰	qhoe
驽	nbaa
筇	qfeia
睥	bwui
戥	dgea
辚	luouu
髀	bwuie
驺	zxu
鸺	xkuuu
迓	yuoa
砜	fpua
眇	mwiuu;	2
哙	kniee
逄	pso
炻	smeu
桤	qdia
疳	glei
楮	cdeiui
磙	gpo
鳇	hsuiee
濞	beuii
鹮	hwuae;	2
醭	biii
仡	gkue
栌	ldie
唢	snioi
菘	stuu
馇	csuu
醐	hieiu
殳	ssaoo
獍	jsoeua
尕	gbi
刿	gwii
殄	tpiu
祢	mjua
豉	cieia
锝	dcuie
暝	mgo
搴	qhue
薅	htau
磴	dpao
垴	nyo
葜	qtee
湓	peuoi
镅	mcaii
艚	cgei
氙	xfia
铑	lceiu
瓿	bleao
煺	tmae
蹀	dneiuu
蟥	hweii
黼	feei
杪	mdi
硭	mpau
蒡	btoeo
蒴	stouu
酽	yiei
膂	lluae;	2
踟	cnue
鲷	dsua
砬	lpoee
肜	rru
哏	gnae
硇	npu
殍	ppuo
猡	lsiau
旒	llueo
漯	teiaa
藁	gto
皤	pduo
鞲	gieeia
哿	gbei
锍	lcoeu
茭	jtoeuo
畋	twueo
姝	sbue
鸲	qsua
谂	sjioa
喹	kneui
跶	dneuo
溏	teoea
鲔	wseu
镬	hcau
橥	vsuu
窆	bhuo
髟	biuu
吣	qnoa
赉	lyia
骘	vca
缧	lxiaa
镓	jcoo
羼	cvou
窬	yhiua
邳	ppa
孥	nbaie
涠	weoi
鸸	rpuae
筌	qfie
溲	seui
璩	qoie
敉	mmue
苒	rtia
垓	gyo
荸	btei
脔	jliai
艟	cgoe
锪	hcua
镄	fca
甓	pvea
祆	xjee
婷	tbo
旄	mlue
彘	vxue
檠	qtuuo
胩	krie
柒	qeuuo;	2
啰	lnia
乂	yaoo
孑	jcee'	3
孓	jcoo;	2
丏	mia
仉	vkua
仂	lkau
夬	gvoo
爿	pcu
邗	hoai
匜	yuaia
叻	lnauu
犰	qsuaa
尻	kvu
耒	looo
圬	wyee
圹	kyoe
圯	yyae
夼	kpui
屺	qwae
伛	ykeauo
仵	wkuei
汆	caeo
汔	qeue
厾	dai
妁	sbuao
玕	goee
玙	yoeae
抔	pueu
抃	buoe
㧐	suaoa
苈	lteua
芼	mtuea;	2
杌	wdeu
邴	biaii
邶	bra
旰	ggee
旸	ygau
吽	hnue
吲	ynae
岈	xwea
兕	swuaa
牤	mfoe
豸	vau
坌	bai
狁	ysaou
疔	dleii
沔	meei
沚	veie
沨	feuau
沩	geou
泐	leai
怃	whee
忭	bho
妣	bbea
妤	ybao
刭	jzii
纴	rxu
玡	yoeau
玭	poea
玠	joiu
玥	youae
玦	joae
坩	gyeie
拤	quieo
坫	dyie
垆	lyie
劼	jyauu
拃	vuuee
坼	cyuu
坻	cyua
㧟	kueo
坭	nyae
苘	qtia
