并	b_
纠	jxvv
骏	jxvz
驹	jxzo
绛	jxzv
铰	jy;/
镓	jy;a
遽	jy;v
镢	jya/
钜	jyav
镌	jyeu
锏	jyoo
钾	jyou
锔	jyvo
锯	jyvu
乩	jyvv
磕	kauo
奎	kauu
柯	kcau
槛	kcuo
溃	kdoo
髡	kfav
疴	khau
邝	khvu
喀	ki;o
吭	ki;z
哐	kiav
咔	kiua
嗑	kiuo
跬	kiuu
侉	kjau
郐	kjvu
扩	kk;e
抠	kka/
挎	kkau
揩	kkav
捆	kkoa
糠	km;v
忾	knea
宽	kneo
窠	kno;
悝	knoa
愦	knoo
恺	knov
窥	knuo
窟	knvv
困	koa;
蝰	koau
骷	kouo
岿	kouv
睽	kovu
魁	kr;u
犒	kt;o
稞	kto;
氪	ktuo
逵	ku;v
坷	kuao
垮	kuau
坎	kuz/
壳	kuzz
狯	kw/u
鲲	kwoa
钶	kyau
锞	kyo;
铿	kyuu
殓	la/a
砬	la;a
硫	la;e
裂	la;o
磊	laaa
聋	laau
砺	laav
厘	laoa
垄	lauu
砾	laz;
鹩	laza
尥	lazo
栏	lc/a
榈	lcoo
榄	lcuo
棂	lcv/
榔	lcvv
橹	lczo
柳	lczv
鎏	ld/a
潋	ld/e
泠	ld/v
沦	ld/z
濂	ld;/
涞	ld;;
漉	ld;a
漓	ld;o
浏	ld;u
逦	ld;v
涟	lda;
淋	ldaa
潦	ldao
沥	ldaz
丽	ldo;
澜	ldoa
泸	ldua
滤	lduv
漏	ldva
郦	ldvu
泺	ldz;
鹂	ldza
溜	ldzo
蕾	le;o
藜	lee/
莅	lee;
荦	leea
蔺	leoe
菱	leuz
蓼	lev/
荔	lezz
酹	lf/a
聆	lf/v
酪	lfzo
聊	lfzv
勒	lfzz
耧	lg/v
耒	lg;;
琉	lg;e
琅	lg;v
珑	lga;
琏	lgav
六	lh//
廉	lh/;
銮	lh/a
廖	lh/e
零	lh/v
麟	lh/z
凛	lh;o
癞	lha/
霖	lhaa
栾	lhau
鹿	lhav
雳	lhaz
挛	lhea
痢	lheu
痨	lhez
赉	lho/
脔	lho;
斓	lhoa
雷	lhoo
峦	lhou
羸	lhov
冽	lhuu
凌	lhuz
廖	lhv/
恋	lhv;
孪	lhva
庐	lhve
疗	lhvu
廊	lhvv
癃	lhvz
鸾	lhza
瘤	lhzo
呤	li/v
咙	lia;
嘹	liao
咧	liau
躏	lieo
嘞	liez
哩	lioa
啰	lioz
唳	liva
啷	livv
鹭	liza
噜	lizo
伶	lj/v
阑	lja;
俪	ljao
僚	ljau
敛	ljea
俐	ljeu
赁	ljo/
儡	ljo;
俚	ljoa
闾	ljoo
佬	ljuv
翎	ljvv
绺	ljzo
拎	lk/;
捋	lk/a
搂	lk/v
抡	lk/z
擂	lk;o
撩	lkao
摞	lkou
撂	lkoz
掳	lkuz
捩	lkva
戾	llao
裢	llav
裸	llo;
谰	lloa
褛	llov
褴	lluo
禄	llv;
郎	llvu
朗	llvv
羚	lm/v
遴	lm;v
燎	lmao
炼	lmav
娄	lmva
炉	lmve
粼	lmvv
熘	lmzo
寥	ln/e
寮	lnao
愣	lno;
窿	lnvz
蛉	lo/;
髅	lo/v
嶙	lo/z
睐	lo;;
詈	lo;o
瞭	loao
崂	loez
螺	loov
螂	lovv
岚	loz/
赂	lozo
辚	ls/z
轳	lsua
篓	lt/v
笠	lt;a
梨	ltau
籁	ltaz
黧	lto;
箓	ltva
氯	ltvu
坜	luaz
陇	lva;
陋	lvav
胪	lvua
陵	lvuz
肋	lvzz
遛	lw;v
鲢	lwa;
鲡	lwao
雒	lwe;
猁	lweu
鲤	lwoa
鲁	lwoo
狸	lwou
猡	lwoz
卵	lwv;
纶	lx/z
骊	lxao
绫	lxuz
驴	lxve
骆	lxzo
锊	ly/a
铃	ly/v
镭	ly;o
镣	lyao
镏	lye;
卤	lyo/
镧	lyo;
锂	lyoa
铝	lyoo
锒	lyv;
鸬	lyza
枚	mcea
棉	mceu
懋	mcv;
湎	mdao
漭	mdea
濛	mdeu
汨	mdoa
渑	mdoo
渺	mdou
淼	mduu
溟	mdv;
泯	mdva
湄	mdvo
蘑	me;a
芒	me;v
蔑	mea;
莽	meaa
暮	meao
墓	meau
莓	meea
苗	meoa
蔓	meoo
幕	meou
萌	meov
慕	meu;
茉	meuo
蓦	meva
茗	mezo
髦	mfev
瑁	mgoo
珉	mgva
麋	mh/;
霾	mh/o
霉	mhea
瘼	mheo
魔	mheu
麽	mhev
蛮	mho;
亩	mhoa
盲	mhoo
袤	mhve
邙	mhvu
哞	miv;
抿	mkva
牟	mlea
谟	mleo
蝥	mlo;
幂	mloa
谩	mloo
谬	mlv/
袂	mlva
谧	mlvo
邈	mm;v
貘	mmeo
觅	mmoe
熳	mmoo
焖	mmov
懵	mneo
悯	mno;
密	mnou
宓	mnv;
寐	mnvu
皿	moaa
蟒	moea
瞄	moeo
蠓	moeu
帽	mooo
幔	moov
眇	moue
睦	mouu
瞑	mov;
蜢	mova
岷	mova
眸	move
嵋	movo
蚂	movv
魅	mru;
暝	mrvo
嬷	ms;a
嫫	mseo
妙	msue
姆	msv;
牧	mtea
穆	mteu
秣	mtu;
牡	mtuu
秘	mtv;
朦	mveu
孟	mvoo
馍	mweo
贸	mwo/
馒	mwoo
鳗	mwov
猕	mwva
卯	mwvu
乜	mxvv
孬	navv
溺	ndv;
泥	ndvz
聂	nfvv
耨	ngau
旎	nhea
蹑	niau
啮	niua
哝	niv;
呶	nive
恁	njv;
傩	njve
侬	njvo
伲	njvz
捺	nkau
撵	nkua
搦	nkv;
扭	nkva
挪	nkvv
衲	nlo;
糯	nm;a
懦	nn;a
怩	nnva
奴	nsv;
弩	nsva
妞	nsvu
娜	nsvv
妮	nsvz
妳	nszu
奶	nszz
黏	ntua
狞	nw;a
馕	nwau
猊	nweu
狃	nwvu
铙	nyav
钕	nyve
殍	pa/v
砒	paav
邳	pavv
譬	pb;o
溥	pda;
浦	pdau
濮	pdeu
泡	pdzv
蒲	pe;a
菩	pe;o
苹	pe;u
苤	peaa
莆	peau
剽	pfuu
霈	ph;;
痞	phao
疱	phzv
叭	pi//
呸	piaa
哌	piee
噗	piu/
嘭	piue
蹁	pivo
咆	pizv
凭	pjzz
扒	pk//
撇	pk/e
抨	pk;u
撇	pkue
捧	pkuu
披	pkzv
翩	plvv
粕	pmeo
盆	pmoa
瞥	pmoo
蟠	po/o
螃	po;;
瞟	poau
毗	poav
蜱	poeu
乓	pr;;
魄	preu
娉	psoa
牝	ptzv
坯	puaa
胼	pv/u
脬	pv/v
膀	pv;;
胚	pvaa
爿	pvee
纰	pxav
槭	qca;
栖	qcau
楸	qce/
樵	qce;
橇	qcea
榷	qcve
淇	qda/
渠	qdau
沏	qdav
汔	qdea
泅	qdo/
潜	qduo
芩	qe/v
萋	qeav
颧	qee/
荞	qeea
芹	qeee
芊	qeeu
荨	qeva
芪	qezv
鬈	qf/v
逑	qf;v
醛	qfe/
蛩	qfo;
綦	qfvu
欺	qfz/
鹊	qfza
契	qga;
琦	qgaa
契	qgao
琪	qgau
麒	qha/
弃	qhau
凄	qhav
旗	qhea
噙	qi/;
跄	qi/v
嘁	qiau
佥	qja;
俅	qjau
戗	qjav
仟	qjea
倩	qjuo
劁	qjuu
俏	qjuv
俟	qjve
揿	qkea
诠	ql/u
巯	ql;e
逡	ql;v
讫	qlea
诮	qluv
祁	qlvu
诎	qlvv
糗	qmeu
羟	qmva
郄	qmvv
券	qmzz
惬	qna;
窍	qnau
愀	qnea
褰	qnu;
搴	qnue
悭	qnuu
怯	qnuv
骞	qnva
囚	qo/;
蜣	qo/u
黔	qo/v
髂	qo;z
嵌	qoau
岖	qoav
蛆	qooa
岐	qou;
畦	qouu
蜻	qouv
虬	qovv
黢	qovz
躯	qra/
辁	qs/u
嫱	qsuo
翘	qsvv
签	qt/a
筌	qt/u
迄	qt;v
箝	qtau
筇	qtav
箐	qtuo
憩	qtv;
氢	qtva
乞	qtvv
磬	quao
脐	qv;e
绮	qxaa
锵	qy;z
锹	qye/
钎	qyea
龋	qyeo
锲	qyua
铅	qyzo
濡	rd;a
沤	rda/
溽	rdaa
洱	rdau
蔼	re;o
茸	reau
苒	reoa
萼	reou
蕊	rev;
茹	revo
髯	rfoa
鞣	rfva
遨	rg;v
珥	rgau
螯	rgo;
耦	rgoo
鳌	rgza
瓤	rhee
嗌	ri/o
嗳	ri/v
嚅	ri;a
唔	riao
呃	riav
哎	rie/
颚	rie;
噢	rieu
蹂	riva
鄂	rivu
俺	rjao
偌	rjea
仁	rjua
闰	rjuu
攘	rk;a
挠	rkaa
捱	rkau
扼	rkav
揉	rkva
拗	rkvv
褥	rlau
讴	rlav
冗	rlee
讹	rleu
糅	rmva
懊	rneu
愕	rnou
蠕	ro;a
冉	roa;
凹	roaa
蛾	roea
蚋	roo;
遏	rr;v
娆	rsav
妊	rsea
媪	rsoo
轫	rsz;
鸥	rsza
殴	rszv
胺	rv;v
狨	rwaa
饵	rwau
饪	rweu
缛	rxaa
锷	ryou
戍	sa;;
厮	saau
硕	sae/
殇	saea
蜃	sao;
盛	saoa
豕	saoo
砷	saou
砂	saue
卅	sauu
属	sbeo
栓	sc/u
梳	sc;e
柿	sc;o
枢	sca/
椹	scau
枢	scav
虱	sceo
梭	scv/
淞	sda/
沭	sda;
涑	sdao
漱	sdau
潸	sdav
挲	sdea
溲	sdeu
泗	sdoa
汕	sdou
涉	sduu
淑	sduv
渗	sdve
涮	sdvu
汜	sdvv
鲨	sdzo
蓑	se;o
莘	se;u
苫	seuo
菽	seuv
蔬	sev;
荪	sevu
芍	sez;
苕	sezo
芟	sezv
粟	sf/o
酥	sfea
斯	sfee
啬	sfoo
丧	sfu;
丧	sfv;
肆	sfvu
琐	sguo
瑟	sgv;
庶	sh;;
痧	sh;u
霎	sh;v
竦	shau
庶	she;
霰	shee
麝	sheu
衰	shoe
疝	shoo
塾	shuu
癖	shv;
瘆	shve
瘙	shvo
煽	shvv
飒	shz/
韶	shzo
嗽	siau
嗖	sieu
嗜	siuo
嗦	siuv
唆	siv/
咝	siva
吮	sive
嗣	sivo
唰	sivu
俗	sj//
僧	sj/o
伞	sj/u
裳	sj;;
闩	sjaa
傻	sjeo
赏	sjo/
裳	sjo;
售	sjoo
伸	sjou
佘	sju;
侍	sjua
舍	sjuo
隼	sjuu
怂	sjv;
伺	sjva
俞	sjvu
舒	sjvv
擞	sk/e
拾	sk/o
拴	sk/u
擅	sk;o
摔	sk;u
逝	sk;v
撕	skau
拭	skav
撒	skee
搡	skva
搔	skvo
抒	skvv
谥	sl/o
讼	sl/v
桑	slau
衫	slee
讪	sloo
谡	sloz
叁	slua
圣	sluu
诵	slv;
祀	slva
诵	slvo
扇	slvv
熵	sm;o
遂	sm;v
弑	sma;
槊	smau
烧	smav
颂	sme/
兽	smoo
刹	smuu
糁	smve
鄯	smvu
朔	smvv
舜	smza
忪	sn/v
窣	sn;u
悚	snao
宋	snau
慑	snav
恃	snua
慎	snuo
塞	snuu
愫	snuv
蟮	so/o
赊	so/u
嵩	so;o
蟀	so;u
崧	soau
睢	soe;
赎	sou;
蛳	soue
署	souo
墅	souu
赡	soz;
蜀	sozo
艄	sqev
晟	sra;
晒	srau
叟	srv;
孀	ss;a
嬗	ss;o
姝	ssea
恕	ssv;
黍	st/u
矢	st;;
筮	sta/
秫	sta;
簌	stau
笙	stea
筲	stev
舌	stoo
甥	stoz
筛	stua
穑	stuo
剩	stuu
稍	stuv
笋	stve
歃	stz/
膳	sv/o
腧	sv/v
膻	sv;a
疏	sv;e
陕	sv;o
胜	sveu
臊	svoa
祟	svuu
飧	sw/v
勺	sw;;
狩	sw;a
觞	swea
馓	swee
稣	sweo
飕	sweu
馊	swev
鳃	swov
删	swuu
殳	swv;
饲	swvo
狲	swvu
甩	swvv
绶	sx/v
驷	sxoa
绳	sxoo
绅	sxou
纾	sxv;
缫	sxvo
骟	sxvv
鸶	sxza
铄	syzu
殄	ta/e
套	taau
榻	tcov
椭	tcva
烫	td//
滔	td/e
涕	td/v
溏	td;v
沱	td;z
汰	tda;
汀	tdau
溻	tdov
淌	tduo
澹	tdz;
淘	tdze
苔	tevo
菟	tezo
醣	tf;v
醍	tfoa
瑭	tg;v
吞	tgoo
霆	thev
瘫	thv;
饕	ti/v
蹄	ti;o
跎	ti;z
蹋	tiov
踏	tiuo
蹚	tiuu
嚏	tiuv
嗵	tiv;
跆	tivo
趿	tiz;
僮	tj;o
途	tj;v
佗	tj;z
棠	tjoa
傥	tjue
氽	tjuu
倜	tjzu
搪	tk;v
挞	tka;
拓	tkao
挺	tkea
拖	tkev
摊	tkv;
探	tkva
捅	tkvo
掏	tkze
谭	tlau
邰	tlvu
煺	tmv;
烃	tmva
郯	tmvu
窕	tnz;
蜕	to/z
疃	to;o
炭	toa/
凸	toaa
町	toau
囤	toav
畋	toea
螳	toeo
帖	touo
骰	tozv
剔	truu
昙	truv
忒	tsv;
笤	ttzo
坨	tu;z
塌	tuov
填	tuuo
坛	tuuv
粜	tv/;
滕	tv/u
陀	tv;z
肽	tva;
腆	tvo/
逖	tw;v
钽	tyoa
杌	wcav
汶	wd;/
豌	wd;z
渭	wdov
洼	wduu
潍	wdvv
莞	we;u
萎	weev
芜	weuv
琬	wg;z
玮	wguu
雯	wh;/
痦	whau
忘	whv;
弯	whva
妄	whvv
吴	wiu;
哇	wiuu
呜	wiza
伍	wjau
佤	wjav
倭	wjea
仵	wjeu
讳	wluu
婺	wlva
焐	wmau
忤	wnea
惘	wno/
愠	wnoo
怃	wnuv
崴	woav
帷	woe;
嵬	woev
蛙	wouu
帏	wouv
幄	wovu
韪	wruu
婉	ws;z
妩	wsuv
舞	wtz;
圬	wuuv
脘	wv;u
鲔	wwav
猬	wwov
邬	wwvu
绾	wx;v
戌	xaa;
咸	xaao
硒	xaau
咸	xao;
矽	xaz;
弦	xb;;
遐	xb;v
巽	xbe/
迅	xc;v
栖	xcau
朽	xcav
檄	xcee
皙	xceo
榭	xceu
樨	xcvu
淆	xd/a
汹	xd/v
漩	xd;e
泫	xd;v
淅	xdae
泄	xdav
潇	xde;
溴	xdeo
涎	xdeu
泄	xdev
沁	xdv;
浔	xdva
汛	xdvu
汐	xdz;
萱	xe;a
薪	xe;e
薰	xee;
芯	xev;
醺	xfe;
靴	xfez
昔	xfoo
巷	xfvv
瑄	xg;a
刑	xguu
瑕	xgvv
痃	xh;v
亵	xhe;
冼	xhea
襄	xhee
席	xheo
庥	xheu
旋	xhev
痫	xhoa
畜	xhoo
襄	xhue
霄	xhuv
玄	xhv;
畜	xhvo
享	xhvu
霞	xhvv
嚣	xiao
跣	xiea
兄	xiee
嗅	xieo
咻	xieu
呷	xiou
嘻	xiuo
嘘	xiuu
哮	xiuv
勋	xizz
侠	xj;;
闲	xjau
偕	xjav
肖	xjvv
掀	xkee
擤	xkeo
衔	xkeu
携	xkez
撷	xkue
祥	xl/u
熊	xl;;
戏	xla;
谐	xlav
训	xleu
裼	xloz
谑	xlua
禧	xluo
诩	xlvv
煊	xm;a
炫	xm;v
奚	xma;
羲	xmea
悉	xmv;
羞	xmva
郗	xmvu
翔	xmvv
宪	xnea
忻	xnee
恤	xneo
悻	xnu/
窸	xnv;
恂	xnzo
崤	xo/a
瞎	xo;u
眩	xo;v
岫	xoou
悬	xov;
蟓	xozo
勖	xozz
歆	xqz/
晞	xr/a
曦	xr/e
煦	xr;;
晰	xrae
曛	xre;
昕	xree
晌	xreo
魈	xruv
媳	xseu
娴	xsoa
嬉	xsuo
絮	xsvu
婿	xsvv
熏	xt;;
筱	xteu
氙	xtoo
箫	xtv;
埙	xuoo
腺	xveu
胥	xvvv
胁	xvz;
降	xvza
陷	xvze
鳕	xw;;
狭	xw;o
蟹	xwo;
猩	xwoe
旭	xwoo
狎	xwou
郇	xwvv
骧	xx;o
纤	xxea
驯	xxeu
绣	xxez
绪	xxuo
绡	xxuv
锌	xy;u
铉	xy;v
锨	xyee
铣	xyeu
虚	xyua
厌	yaa;
靥	yaaa
雁	yae;
赝	yaeo
魇	yaev
殃	yao;
砚	yaoe
殒	yaoo
奄	yaov
压	yau;
尢	yav;
郁	yavv
椰	ycau
杳	ycoo
柚	ycou
橼	ycvv
檐	ycz;
楹	yczo
浴	yd//
漾	yd/;
淫	yd/e
溢	yd/o
渝	yd/v
淤	yd;/
夷	yd;;
液	yd;e
瀛	yd;v
淹	ydao
涯	ydau
沂	ydee
滢	ydeu
潆	ydev
泱	ydo;
洇	ydoa
滟	yduz
涌	ydvo
漪	ydza
渔	ydzo
薏	ye;v
莜	yeeu
萤	yeo;
茵	yeoa
茔	yeua
芋	yeuu
芸	yeuv
蕴	yevo
萦	yevu
荫	yevv
药	yevz
莺	yeza
苑	yezv
焉	yfa;
酉	yfaa
颐	yfe/
鞅	yfo;
鄢	yfvv
琰	yg//
瑜	yg/v
瑛	ygeo
膺	ygev
盂	ygoa
韫	ygoo
璎	ygov
玥	ygvv
於	yh/;
瘀	yh;/
霪	yh;e
疣	yha;
奕	yhaa
痍	yhav
颜	yhe/
彦	yhee
庾	yheu
鹰	yhez
裔	yho/
赢	yhov
雍	yhv;
兖	yhve
冶	yhvo
庸	yhvu
翊	yhvv
瘾	yhvz
疫	yhz;
鹰	yhza
疡	yhze
毅	yhzv
喻	yi/v
噫	yi;o
唷	yi;v
哑	yiau
咦	yiav
咿	yieu
呓	yiev
咽	yioa
喁	yioo
嘤	yiov
噎	yiua
吆	yiv;
踊	yivo
邑	yivv
哟	yivz
仪	yj/;
佯	yj/u
阏	yj;/
逾	yj;v
倚	yjaa
佑	yjao
俨	yjau
偃	yjav
佚	yjea
闫	yjua
悠	yjv;
伊	yjva
耀	yjve
俑	yjvo
亿	yjvv
阎	yjze
佣	yjzu
徭	yk/e
徉	yk/u
援	yk/v
掖	yk;e
喑	yk;o
唁	yk;u
衙	ykau
揖	ykoa
役	ykz;
拥	ykzu
抑	ykzv
裕	yl//
谣	yl/e
裕	yl/o
谕	yl/v
翌	yl;a
谚	yl;e
谊	yl;o
祐	ylao
羿	ylau
矣	yle;
诱	ylea
允	ylee
谀	yleu
甬	ylou
恿	ylov
谒	yloz
刭	yluu
羽	ylv;
诒	ylvo
郓	ylvv
冤	ylz;
鹬	ylza
豫	ylze
诣	ylzo
爻	ym//
焱	ym/;
烊	ym/u
舀	ymeu
煜	ymo;
丫	ymuu
恙	ymv;
熠	ymve
鹞	ymza
焰	ymze
愉	yn/v
慵	yn;v
寅	yna/
恹	ynaa
宥	ynav
怏	yno;
寓	ynoo
宴	ynov
恽	ynva
怡	ynvo
峪	yo/o
央	yo;;
遗	yo;v
螈	yoae
岩	yoao
崖	yoau
屿	yoav
罂	yoea
曳	yoee
蜒	yoeu
禺	yoo;
蝇	yooo
蜴	yooz
愚	yov;
蚓	yova
婴	yove
贻	yovo
邮	yovu
幽	yovv
黝	yovz
鹦	yoza
禹	yr;;
昱	yr;a
晏	yr;v
曰	yraa
粤	yrav
晔	yreu
鼹	yro;
臾	yroo
岳	yrou
劓	yruu
媛	ys/v
弋	ys;;
迓	ys;v
妪	ysa/
嫣	ysa;
娅	ysau
尧	ysav
轶	yse;
妖	ysea
牙	ysee
彧	yso;
娱	ysou
辕	ysuo
妤	ysvv
欤	ysz/
鸢	ysza
毓	yt;e
迤	yt;v
墉	yu;v
壹	yua/
域	yua;
垣	yuao
堙	yuau
堰	yuav
盐	yuoa
邺	yuvv
腋	yv;e
臆	yv;o
臃	yv;v
腌	yvao
胰	yvav
隅	yvo;
胭	yvoa
陨	yvoo
匀	yw;a
逸	yw;v
鱿	ywa;
颍	ywe/
怨	ywv;
狱	ywva
饴	ywvo
肄	ywvu
疑	ywvv
缢	yx/o
彝	yxau
邕	yxov
驿	yxv;
绎	yxvu
驭	yxvv
龉	yyau
铘	yyav
铀	yyoa
玻璃	bgz
嫦娥	csu
玳瑁	dge
玷污	dgu
吩咐	fi/
疙瘩	ghe
旮旯	gzo
诙谐	hla
蛤蟆	ho/
蝴蝶	hou
囫囵	hoz
鹧鸪	ihz
觊觎	joo
咖啡	kiz
傀儡	kje
篱笆	lt;
垃圾	lu;
趔趄	lua
邋遢	lx;
忸怩	nnv
琵琶	pga
彷徨	pk;
缥缈	pxa
蛐蛐	qoo
鹌鹑	raz
峨嵋	roe
婀娜	rsv
忐忑	tyv
龌龊	wyv
唏嘘	xi/
羡慕	xm;
蟋蟀	xo/
蜥蜴	xoa
卜	bj;;;
钵	byau;
噌	ci/o;
踹	cioa;
跶	dia;;
蛄	gouo;
秆	gtuu;
鸹	gtza;
喉	hiev;
痔	ihua;
踵	iiea;
蜇	iko;;
祚	ileu;
蛀	io;a;
嶂	io;o;
幛	io;u;
锃	iyou;
钊	iyuu;
暨	jboa;
豇	jdau;
醮	jfe;;
刳	kauu;
瘘	lh/v;
冽	lhau;
膂	lhva;
娈	lhve;
偻	lj/v;
镂	ly/v;
檬	mcea;
苜	meou;
螨	moea;
蟆	moeo;
螟	movo;
驽	nsvv;
庖	phzv;
蹼	piu/;
蜷	qo/v;
哂	siau;
仕	sjua;
绥	sx/v;
序	xhv;;
湮	ydau;
胤	yevv;
嬴	yhov;
呦	yivz;
阉	yjao;
烨	ymeu;
炀	ymze;
愠	ynoo;
蜮	yoav;
蛹	yovo;
鸯	yoza;
驿	yxvu;
鹁鸪	bfza
蝙蝠	bovo
璀璨	cgoe
痤疮	ch/u
蹉跎	ci/a
踟躇	ciea
徜徉	ckuo
憧憬	cn;o
惭愧	cnav
惆怅	cnzu
蟾蜍	coz;
伧促	cr/v
喋喋	diea
咄咄	divu
诽谤	flua
尴尬	gauo
橄榄	gcve
蝈蝈	goou
旮旯	gwoo
斟酌	ifu;
踯躅	ii/v
蟑螂	io;o
蜘蛛	ioeo
狰狞	iwzv
矍铄	jov;
孑孓	jva;
袈裟	jz;e
咳嗽	ki;;
崆峒	ko;a
蝌蚪	koe;
萝卜	leoz
囹圄	lo/v
耄耋	mfea
腼腆	mvao
磅礴	pa;;
滂沱	pd;;
葡萄	peza
嘌呤	piau
蹒跚	piea
徘徊	pkua
乒乓	pree
蹊跷	qi/a
襁褓	qlvo
崎岖	qoaa
蚯蚓	qoeu
肮脏	rv;z
呻吟	siou
唢呐	siu/
蜿蜒	wo;z
蜈蚣	woou
逶迤	wt;v
逍遥	xj;v
螅蟀	xoeo
牺牲	xtau
邂逅	xw;v
旖旎	yhea
揶揄	ykav
窈窕	ynvz
氤氲	ytoa
鸳鸯	ywza
钥匙	yyvv
踌躇	ciua;
佝偻	gjzo;
峥嵘	iozv;
妯娌	isoa;
吝啬	lhoo;
蝼蚁	lo/v;
不	ba;;
有	yava
一	ydaa
半	bmu
办	bz;
程	cto
等	dtu
复	fto
公	gmv
果	go;
告	gto
化	hjz
黑	ho;
或	hso
展	ibe
真	if/
早	iru
怎	itv
极	jcz
交	jh/
军	jla
精	jmu
乐	lw;
母	mx;
呢	niv
拿	njo
能	nlz
其	qf/
七	qsa
切	qsz
却	quv
让	rlu
入	rm/
容	rno
如	rso
师	spa
少	spe
谈	tl/
通	tl;
调	tlz
它	tnz
图	toz
无	wgv
现	xgo
学	xnv
笑	xte
影	yre
变	bhvv
吧	bivv
报	bkvv
必	blee
备	bwoo
步	byee
存	cava
产	chee
常	cjoo
传	cju;
曾	cmoa
场	cuzz
带	dfou
底	dhz;
代	djav
但	djoo
得	dkoa
调	dlzu
断	dmee
单	dmou
东	ds;;
第	dtvv
方	fhvv
格	gcz;
更	gf;;
过	gf;v
古	gfoa
功	gfzz
高	ghoo
刚	gouu
何	hjao
合	hjoo
候	hjva
乎	hmuu
再	ifaa
整	ifaa
者	ifoa
直	ifoa
装	ih;;
主	ihaa
站	ihuo
住	ij;a
做	ijue
找	ikav
之	ilvv
着	imoo
最	irav
转	isu;
终	ixz;
己	jbvv
教	jfea
就	jhav
将	jhz;
间	jjoo
据	jkvu
计	jluu
家	jna;
举	jnuu
具	jo//
几	jwvv
解	jwze
结	jxuo
可	kfoo
哭	kia;
看	kkoo
客	knzo
老	lfzz
离	lhov
满	mde;
命	mjov
求	qf;;
期	qfvv
前	qmvu
千	qtuu
任	rjea
然	rw;;
深	sdv/
十	sfuu
诉	slee
神	slou
受	smvv
四	soev
身	sree
算	stoa
特	ttuu
王	wgaa
望	whua
问	wjoo
外	wwu;
信	xj;o
心	xl;;
写	xlav
兴	xn//
息	xrv;
引	ybuu
远	yg;v
应	yh;a
音	yhoo
意	yhov
语	ylao
义	ym;;
由	yoaa
月	yvvv
乐	yw;;
团	toau;
春	cgoo
旱	hruu
忽	hwv;
嘴	iiuz
略	lozo
识	slo/
腿	tvv;
汪	wdua
